keys,en
node.hrd_weight_of_kings.desc,"There is no limit to what you can carry. Every kilogram of it makes you slower and louder than it would make anyone else. You can haul the whole vault out. The Deep will hear you do it."
node.hrd_tribute_in_kind.name,Tribute in Kind
node.hrd_tribute_in_kind.desc,"You know what gold is worth to her. Anything you set down is worth her stooping for — and she will take it."
item.arm_hide_satchel.name,Hide Satchel
item.arm_hide_satchel.desc,"A wider frame, and a wider frame is a louder one. Everything you gain room for is something else the dark can hear you carrying."
fallen.down,"Bleeding out — %d s. Your ember will drop where you fall."
fallen.hand,"A hand on you. Hold still."
fallen.vordr,"Vörðr. You are loose, and nothing can touch you. Scout for them."
legacy.learned.title,"What you learned"
legacy.learned.body,"No descent returns nothing. This lineage carries %d lessons out of the Deep — where things were, what they did, and who would speak to you."
legacy.learned.life,"That life was a %s, at rank %d. It is over."
legacy.learned.next,"And what she remembers"
legacy.keep.title,"She will remember %d things"
legacy.keep.body,"A thing you wore or set aside, or a lesson you bought. Never Boon — she does not deal in measures. What she keeps comes back Scarred: weaker than it was, and worth nothing to her."
legacy.keep.next,"Enough. Who am I now?"
legacy.kind.item,"a thing"
legacy.kind.node,"a lesson"
deed.first_way_out.name,"The Way Out"
deed.first_way_out.desc,"You found the surface once. She noticed."
deed.bore_them_home.name,"Bore Them Home"
deed.bore_them_home.desc,"%s's ember, carried the whole way. It was heavy and it was loud and you did it anyway."
deed.empty_handed.name,"Empty-Handed"
deed.empty_handed.desc,"You went down, you came back, and you took nothing. She does not understand it either."
deed.left_the_prize.name,"Left It Sitting"
deed.left_the_prize.desc,"The best thing down there is still down there."
deed.by_a_thread.name,"By A Thread"
deed.by_a_thread.desc,"There was almost nothing left of you at the door."
deeds.title,"What you did"
deeds.dismiss,"She has seen it"
node.wng_soft_boots.name,Soft Boots
node.wng_soft_boots.desc,"Crouching stops being quiet-ish and starts being silent."
node.wng_long_wind.name,Long Wind
node.wng_long_wind.desc,"An empty bag costs you nothing to run with. Come down light and you can run all day."
node.wng_light_step.name,Light Step
node.wng_light_step.desc,"A sprint is no louder than a walk. Whatever is listening learns nothing from your hurry."
node.wng_faint_trace.name,Faint Trace
node.wng_faint_trace.desc,"What you carry stops announcing itself. The weight is still there; the sound of it is not."
node.wng_stillness.name,Stillness
node.wng_stillness.desc,"Stop moving and eyes slide off you. Ears do not — hold your breath as well."
node.wng_second_wind.name,Second Wind
node.wng_second_wind.desc,"Standing still gives your breath back, however much you are carrying."
node.wng_open_bag.name,Open Bag
node.wng_open_bag.desc,"Rummage at a walk. It is still both hands, and it is no longer both feet."
node.wng_windward.name,Windward
node.wng_windward.desc,"A Waystone takes you almost before you have finished asking."
node.wng_bearers_grace.name,Bearer's Grace
node.wng_bearers_grace.desc,"A friend's ember stops weighing what a friend weighs. It is still as loud as it ever was."
node.wng_never_where_she_struck.name,Never Where She Struck
node.wng_never_where_she_struck.desc,"Take a wound and you may be three seconds ago instead — once a floor. The ground you left roars where you were standing, and everything hears which room the fight was in."
node.wng_quiet_door.name,The Quiet Door
node.wng_quiet_door.desc,"A Waystone takes you without a sound. Whatever was coming arrives to an empty room."
node.wng_swift_seal.name,Swift Seal
node.wng_swift_seal.desc,"A Shaft opens for you faster than it opens for anyone. It is still closing while you work."
node.wng_still_hands.name,Still Hands
node.wng_still_hands.desc,"You can get a friend up without telling the floor you are doing it."
